sku,name,price,brand,category,rating,reviews_count,url,release_date,cpu,cpu_speed,gpu,ram,storage,rearcam_specs,frontcam_specs,screen_type,screen_size,screen_panel,screen_res,screen_rate,screen_nits,os,water_resistant,battery,charger,weight,material,connectivity,network,ports,updated_at
335228,Điện thoại vivo Y04 4GB/128GB,3430000,vivo,Smartphone,4.9,40609,https://www.thegioididong.com/dtdd/vivo-y04,04/2025,Unisoc T7225 8 nhân,1.8 GHz,Mali-G52,4 GB,128 GB,Chính 13 MP & Phụ 0.08 MP,5 MP,Kính cường lực,"6.74""",IPS LCD,HD+ (720 x 1600 Pixels),90 Hz,570 nits,Android 14,IP64,5500 mAh,15 W,199 g,Khung & Mặt lưng nhựa,"Wi-Fi hotspot, Wi-Fi Direct, Wi-Fi 5, Dual-band (2.4 GHz/5 GHz), v5.2, OTG",Hỗ trợ 4G,"3.5 mm, Type-C",2025-09-09 11:47:33
329938,Điện thoại Xiaomi 14T 5G 12GB/256GB,0,Xiaomi,Smartphone,4.9,32274,https://www.thegioididong.com/dtdd/xiaomi-14t-5g,09/2024,MediaTek Dimensity 8300 Ultra 8 nhân,"1 nhân 3.35 GHz, 3 nhân 3.2 GHz & 4 nhân 2.2 GHz",Mali-G615,12 GB,256 GB,"Chính 50 MP & Phụ 50 MP, 12 MP",32 MP,Kính cường lực Corning Gorilla Glass 5,"6.67""",AMOLED,1.5K (1220 x 2712 Pixels),144 Hz,4000 nits,Xiaomi HyperOS (Android 14),IP68,5000 mAh,67 W,195 g,Khung nhựa & Mặt lưng kính,"OTG, NFC, Hồng ngoại, Wi-Fi MIMO, Wi-Fi hotspot, Wi-Fi Direct, Wi-Fi 6, Dual-band (2.4 GHz/5 GHz), v5.4",Hỗ trợ 5G,Type-C,2025-09-09 11:47:33
303716,Điện thoại iPhone 15 256GB,18490000,iPhone (Apple),Smartphone,4.9,18151,https://www.thegioididong.com/dtdd/iphone-15-256gb,09/2023,Apple A16 Bionic,3.46 GHz,Apple GPU 5 nhân,6 GB,256 GB,Chính 48 MP & Phụ 12 MP,12 MP,Kính cường lực Ceramic Shield,"6.1""",OLED,Super Retina XDR (1179 x 2556 Pixels),60 Hz,2000 nits,iOS 17,IP68,3349 mAh,20 W,171 g,Khung nhôm & Mặt lưng kính cường lực,"NFC, Wi-Fi MIMO, Wi-Fi 802.11 a/b/g/n/ac/ax, Wi-Fi 6, v5.3",Hỗ trợ 5G,Type-C,2025-09-09 11:47:33
334930,Điện thoại Samsung Galaxy A36 5G 12GB/256GB,9610000,Samsung,Smartphone,4.9,6760,https://www.thegioididong.com/dtdd/samsung-galaxy-a36,03/2025,Snapdragon 6 Gen 3 8 nhân,2.4 GHz,Adreno 710,12 GB,256 GB,"Chính 50 MP & Phụ 8 MP, 5 MP",12 MP,Kính cường lực Corning Gorilla Glass Victus+,"6.7""",Super AMOLED,Full HD+ (1080 x 2340 Pixels),120 Hz,1200 nits,Android 15,IP67,5000 mAh,45 W,195 g,Khung nhựa & Mặt lưng kính,"NFC, Wi-Fi MIMO, Wi-Fi hotspot, Wi-Fi Direct, Wi-Fi 6, Dual-band (2.4 GHz/5 GHz), v5.4",Hỗ trợ 5G,Type-C,2025-09-09 11:47:33
333364,Điện thoại Samsung Galaxy S25 5G 12GB/512GB,21190000,Samsung,Smartphone,5.0,326,https://www.thegioididong.com/dtdd/samsung-galaxy-s25-512gb,01/2025,Qualcomm Snapdragon 8 Elite For Galaxy 8 nhân,4.47 GHz,Adreno 830,12 GB,512 GB,"Chính 50 MP & Phụ 12 MP, 10 MP",12 MP,Kính cường lực Corning Gorilla Glass Victus 2,"6.2""",Dynamic AMOLED 2X,Full HD+ (1080 x 2340 Pixels),120 Hz,2600 nits,Android 15,IP68,4000 mAh,25 W,162 g,Khung nhôm & Mặt lưng kính cường lực,"NFC, Wi-Fi MIMO, Wi-Fi hotspot, Wi-Fi Direct, Wi-Fi 7, Dual-band (2.4 GHz/5 GHz), 6 GHz, v5.4",Hỗ trợ 5G,Type-C,2025-09-09 11:47:33
336618,Điện thoại realme 14T 5G 12GB/256GB,8830000,realme,Smartphone,5.0,3460,https://www.thegioididong.com/dtdd/realme-14t-5g,05/2025,MediaTek Dimensity 6300 5G 8 nhân,2.4 GHz,Mali-G57 MC2,12 GB,256 GB,Chính 50 MP & Phụ 2 MP,16 MP,Kính cường lực,"6.67""",AMOLED,Full HD+ (1080 x 2400 Pixels),120 Hz,2000 nits,Android 15,"IP66, IP68, IP69",6000 mAh,45 W,196 g,Khung & Mặt lưng nhựa,"Wi-Fi hotspot, Dual-band (2.4 GHz/5 GHz), OTG, NFC, v5.3",Hỗ trợ 5G,Type-C,2025-09-09 11:47:33
303812,Điện thoại iPhone 15 512GB,24390000,iPhone (Apple),Smartphone,5.0,272,https://www.thegioididong.com/dtdd/iphone-15-512gb,09/2023,Apple A16 Bionic,3.46 GHz,Apple GPU 5 nhân,6 GB,512 GB,Chính 48 MP & Phụ 12 MP,12 MP,Kính cường lực Ceramic Shield,"6.1""",OLED,Super Retina XDR (1179 x 2556 Pixels),60 Hz,2000 nits,iOS 17,IP68,3349 mAh,20 W,171 g,Khung nhôm & Mặt lưng kính cường lực,"NFC, Wi-Fi MIMO, Wi-Fi 802.11 a/b/g/n/ac/ax, Wi-Fi 6, v5.3",Hỗ trợ 5G,Type-C,2025-09-09 11:47:33
329938,Điện thoại Xiaomi 14T 5G 12GB/256GB,0,Xiaomi,Smartphone,4.9,32274,https://www.thegioididong.com/dtdd/xiaomi-14t-5g,09/2024,MediaTek Dimensity 8300 Ultra 8 nhân,"1 nhân 3.35 GHz, 3 nhân 3.2 GHz & 4 nhân 2.2 GHz",Mali-G615,12 GB,256 GB,"Chính 50 MP & Phụ 50 MP, 12 MP",32 MP,Kính cường lực Corning Gorilla Glass 5,"6.67""",AMOLED,1.5K (1220 x 2712 Pixels),144 Hz,4000 nits,Xiaomi HyperOS (Android 14),IP68,5000 mAh,67 W,195 g,Khung nhựa & Mặt lưng kính,"OTG, NFC, Hồng ngoại, Wi-Fi MIMO, Wi-Fi hotspot, Wi-Fi Direct, Wi-Fi 6, Dual-band (2.4 GHz/5 GHz), v5.4",Hỗ trợ 5G,Type-C,2025-09-09 11:47:33
328449,Điện thoại OPPO A3x 4GB/64GB,3130000,OPPO,Smartphone,4.9,169808,https://www.thegioididong.com/dtdd/oppo-a3x-4gb-64gb,08/2024,Snapdragon 6s Gen 1 8 nhân,4 nhân 2.1 GHz & 4 nhân 2.0 GHz,Adreno 610,4 GB,64 GB,Chính 8 MP & Cảm biến Flicker,5 MP,Kính cường lực Panda,"6.67""",IPS LCD,HD+ (720 x 1604 Pixels),90 Hz,1000 nits,Android 14,IP54,5100 mAh,45 W,186 g,Khung nhựa & Mặt lưng thuỷ tinh hữu cơ,"Wi-Fi hotspot, Wi-Fi Direct, Wi-Fi 802.11 a/b/g/n/ac, Dual-band (2.4 GHz/5 GHz), OTG, v5.0",Hỗ trợ 4G,"3.5 mm, Type-C",2025-09-09 11:47:33
336745,Điện thoại TCL 60 NXTPaper 8GB/256GB,4410000,TCL,Smartphone,4.9,267,https://www.thegioididong.com/dtdd/tcl-60-nxtpaper,05/2025,MediaTek Helio G92 8 nhân,2 nhân 2.0 GHz & 6 nhân 1.8 GHz,Mali-G52 MC2,8 GB,256 GB,Chính 108 MP & Phụ 2 MP,32 MP,Kính cường lực Panda,"6.8""",IPS LCD,Full HD+ (1080 x 2460 Pixels),90 Hz,550 nits,Android 15,IP54,5200 mAh,33 W,190 g,Khung & Mặt lưng nhựa,"Wi-Fi hotspot, Wi-Fi Direct, Wi-Fi 5, Dual-band (2.4 GHz/5 GHz), OTG, NFC, v5.1",Hỗ trợ 4G,"3.5 mm, Type-C",2025-09-09 11:47:33
320729,Điện thoại Xiaomi Redmi Note 14 6GB/128GB,4650000,Xiaomi,Smartphone,4.9,11612,https://www.thegioididong.com/dtdd/xiaomi-redmi-note-14,01/2025,MediaTek Helio G99-Ultra 8 nhân,2 nhân 2.2 GHz & 6 nhân 2.0 GHz,Mali-G57 MC2,6 GB,128 GB,"Chính 108 MP & Phụ 2 MP, 2 MP",20 MP,Kính cường lực Corning Gorilla Glass 5,"6.67""",AMOLED,Full HD+ (1080 x 2400 Pixels),120 Hz,1800 nits,Xiaomi HyperOS (Android 14),IP54,5500 mAh,33 W,196.5 g,Khung & Mặt lưng nhựa,"Wi-Fi hotspot, Wi-Fi Direct, Wi-Fi 802.11 a/b/g/n/ac, Dual-band (2.4 GHz/5 GHz), NFC, v5.3",Hỗ trợ 4G,"3.5 mm, Type-C",2025-09-09 11:47:33
341272,Điện thoại Xiaomi Redmi 15 6GB/128GB,4790000,Xiaomi,Smartphone,,,https://www.thegioididong.com/dtdd/xiaomi-redmi-15-6gb-128gb,08/2025,,,,,,,,,,,,,,,,,,,,,,,2025-09-09 11:47:33
281570,Điện thoại iPhone 15 128GB,15290000,iPhone (Apple),Smartphone,4.9,96344,https://www.thegioididong.com/dtdd/iphone-15,09/2023,Apple A16 Bionic,3.46 GHz,Apple GPU 5 nhân,6 GB,128 GB,Chính 48 MP & Phụ 12 MP,12 MP,Kính cường lực Ceramic Shield,"6.1""",OLED,Super Retina XDR (1179 x 2556 Pixels),60 Hz,2000 nits,iOS 17,IP68,3349 mAh,20 W,171 g,Khung nhôm & Mặt lưng kính cường lực,"NFC, Wi-Fi MIMO, Wi-Fi 802.11 a/b/g/n/ac/ax, Wi-Fi 6, v5.3",Hỗ trợ 5G,Type-C,2025-09-09 11:47:33
331206,Điện thoại Samsung Galaxy A16 8GB/256GB,5240000,Samsung,Smartphone,4.9,43134,https://www.thegioididong.com/dtdd/samsung-galaxy-a16,11/2024,MediaTek Helio G99,2.2 GHz,Mali-G57,8 GB,256 GB,"Chính 50 MP & Phụ 5 MP, 2 MP",13 MP,Kính cường lực,"6.7""",Super AMOLED,Full HD+ (1080 x 2340 Pixels),90 Hz,800 nits,Android 14,IP54,5000 mAh,25 W,192 g,Khung & Mặt lưng nhựa,"Wi-Fi hotspot, Wi-Fi Direct, Wi-Fi 802.11 a/b/g/n/ac, Dual-band (2.4 GHz/5 GHz), NFC, v5.3",Hỗ trợ 4G,Type-C,2025-09-09 11:47:33
340258,Điện thoại OPPO A5i 4GB/128GB,3690000,OPPO,Smartphone,5.0,1410,https://www.thegioididong.com/dtdd/oppo-a5i-4gb-128gb,07/2025,Snapdragon 6s Gen 1 8 nhân,2.1 GHz,Adreno 610,4 GB,128 GB,8 MP,5 MP,Kính cường lực Panda,"6.67""",IPS LCD,HD+ (720 x 1604 Pixels),90 Hz,1000 nits,Android 14,IP54,5100 mAh,45 W,186 g,Khung nhựa & Mặt lưng thuỷ tinh hữu cơ,"Wi-Fi 802.11 a/b/g/n, Wi-Fi 5, Dual-band (2.4 GHz/5 GHz), OTG, v5.0",Hỗ trợ 4G,"3.5 mm, Type-C",2025-09-09 11:47:33
338741,Điện thoại Samsung Galaxy Z Flip7 FE 5G 8GB/128GB,18490000,Samsung,Smartphone,5.0,576,https://www.thegioididong.com/dtdd/samsung-galaxy-z-flip7-fe,07/2025,Exynos 2400 10 nhân,3.2 GHz,Xclipse 940,8 GB,128 GB,Chính 50 MP & Phụ 12 MP,10 MP,Kính cường lực Corning Gorilla Glass Victus 2,"Chính 6.7"" & Phụ 3.4""","Chính Dynamic AMOLED 2X, Phụ Super AMOLED",Chính FHD+ (1080 x 2640 Pixels) x Phụ HD+ (720 x 748 Pixels),120 Hz60 Hz,Chính 2600 nits & Phụ 1600 nits,Android 16,IP48,4000 mAh,25 W,187 g,Khung nhôm & Mặt lưng kính cường lực,"OTG, NFC, Wi-Fi MIMO, Wi-Fi hotspot, Wi-Fi Direct, Wi-Fi 7, Dual-band (2.4 GHz/5 GHz), 6 GHz, v5.4",Hỗ trợ 5G,Type-C,2025-09-09 11:47:33
329148,Điện thoại iPhone 16 Pro 1TB,39890000,iPhone (Apple),Smartphone,5.0,466,https://www.thegioididong.com/dtdd/iphone-16-pro-1tb,09/2024,Apple A18 Pro 6 nhân,Hãng không công bố,Apple GPU 6 nhân,8 GB,1 TB,"Chính 48 MP & Phụ 48 MP, 12 MP",12 MP,Kính cường lực Ceramic Shield,"6.3""",OLED,Super Retina XDR (1206 x 2622 Pixels),120 Hz,2000 nits,iOS 18,IP68,27 giờ,20 W,199 g,Khung Titan & Mặt lưng kính cường lực,"NFC, Wi-Fi MIMO, Wi-Fi 7, v5.3",Hỗ trợ 5G,Type-C,2025-09-09 11:47:33
341800,Điện thoại Samsung Galaxy A17 8GB/256GB,5890000,Samsung,Smartphone,,,https://www.thegioididong.com/dtdd/samsung-galaxy-a17-8gb-256gb,09/2025,,,,,,,,,,,,,,,,,,,,,,,2025-09-09 11:47:33
336408,Điện thoại vivo V50 Lite 5G 8GB/256GB,9810000,vivo,Smartphone,4.9,10577,https://www.thegioididong.com/dtdd/vivo-v50-lite-5g,05/2025,MediaTek Dimensity 6300 5G 8 nhân,2 nhân 2.4 GHz & 6 nhân 2 GHz,Mali-G57,8 GB,256 GB,Chính 50 MP & Phụ 8 MP,32 MP,Kính cường lực Shield,"6.77""",AMOLED,Full HD+ (1080 x 2392 Pixels),120 Hz,1800 nits,Android 15,IP65,6500 mAh,90 W,197 g,Khung & Mặt lưng nhựa,"Wi-Fi hotspot, Wi-Fi Direct, Wi-Fi 5, Dual-band (2.4 GHz/5 GHz), OTG, NFC, v5.4",Hỗ trợ 5G,Type-C,2025-09-09 11:47:33
339178,Điện thoại OPPO Reno14 F 5G 12GB/512GB,12760000,OPPO,Smartphone,5.0,11171,https://www.thegioididong.com/dtdd/oppo-reno14-f-5g-12gb-512gb,07/2025,Snapdragon 6 Gen 1 5G 8 nhân,2.2 GHz,Adreno 710,12 GB,512 GB,"Chính 50 MP & Phụ 8 MP, 2 MP",32 MP,Kính cường lực AGC DT-Star D+,"6.57""",AMOLED,Full HD+ (1080 x 2372 Pixels),120 Hz,1400 nits,Android 15,"IP66, IP68, IP69",6000 mAh,45 W,180 g,Khung nhựa & Mặt lưng thuỷ tinh hữu cơ,"Wi-Fi hotspot, Wi-Fi 5, Dual-band (2.4 GHz/5 GHz), OTG, NFC, v5.1",Hỗ trợ 5G,Type-C,2025-09-09 11:47:33
340255,Điện thoại OPPO A5i Pro 8GB/128GB,5490000,OPPO,Smartphone,4.9,499,https://www.thegioididong.com/dtdd/oppo-a5i-pro-8gb-128gb,07/2025,Snapdragon 6s Gen 1 8 nhân,2.1 GHz,Adreno 610,8 GB,128 GB,Chính 50 MP & Phụ 2 MP,5 MP,Kính cường lực AGC DT-Star D+ hoặc Corning Gorilla Glass 7i (tuỳ lô hàng),"6.67""",IPS LCD,HD+ (720 x 1604 Pixels),90 Hz,1000 nits,Android 15,IP65,6000 mAh,45 W,193 g,Khung nhựa & Mặt lưng thuỷ tinh hữu cơ,"Wi-Fi 5, Dual-band (2.4 GHz/5 GHz), OTG, NFC, v5.0",Hỗ trợ 4G,"3.5 mm, Type-C",2025-09-09 11:47:33
307174,Điện thoại Samsung Galaxy S24 Ultra 5G 12GB/256GB,23300000,Samsung,Smartphone,4.9,37146,https://www.thegioididong.com/dtdd/samsung-galaxy-s24-ultra-5g,01/2024,Snapdragon 8 Gen 3 for Galaxy,3.39 GHz,Adreno 750,12 GB,256 GB,"Chính 200 MP & Phụ 50 MP, 12 MP, 10 MP",12 MP,Kính cường lực Corning Gorilla Armor,"6.8""",Dynamic AMOLED 2X,2K+ (1440 x 3120 Pixels),120 Hz,2600 nits,Android 14,IP68,5000 mAh,45 W,232 g,Khung Titan & Mặt lưng kính cường lực,"Wi-Fi MIMO, Wi-Fi hotspot, Wi-Fi Direct, Wi-Fi 802.11 a/b/g/n/ac/ax, Dual-band (2.4 GHz/5 GHz), NFC, v5.3",Hỗ trợ 5G,Type-C,2025-09-09 11:47:33
326016,Điện thoại vivo Y28 8GB/128GB,5190000,vivo,Smartphone,4.9,57795,https://www.thegioididong.com/dtdd/vivo-y28,06/2024,MediaTek Helio G85,2 nhân 2.0 GHz & 6 nhân 1.8 GHz,Mali-G52,8 GB,128 GB,Chính 50 MP & Phụ 2 MP,8 MP,Kính cường lực CSG,"6.68 """,IPS LCD,HD+ (720 x 1608 Pixels),90 Hz,1000 nits,Android 14,IP64,6000 mAh,44 W,199 g,Khung & Mặt lưng nhựa,"Wi-Fi hotspot, Dual-band (2.4 GHz/5 GHz), OTG, v5.0",Hỗ trợ 4G,"3.5 mm, Type-C",2025-09-09 11:47:33
328751,Điện thoại Samsung Galaxy A06 4GB/128GB,3430000,Samsung,Smartphone,4.9,9171,https://www.thegioididong.com/dtdd/samsung-galaxy-a06-4gb-128gb,08/2024,MediaTek Helio G85,2 nhân 2.0 GHz & 6 nhân 1.8 GHz,Mali-G52,4 GB,128 GB,Chính 50 MP & Phụ 2 MP,8 MP,Kính cường lực,"6.7""",PLS LCD,HD+ (720 x 1600 Pixels),60 Hz,576 nits,Android 14,,5000 mAh,25 W,189 g,Khung & Mặt lưng nhựa,"Wi-Fi hotspot, Wi-Fi Direct, Wi-Fi 802.11 a/b/g/n/ac, Dual-band (2.4 GHz/5 GHz), v5.3",Hỗ trợ 4G,"3.5 mm, Type-C",2025-09-09 11:47:33
335792,Điện thoại HONOR X8c 8GB/256GB,6870000,HONOR,Smartphone,4.9,3734,https://www.thegioididong.com/dtdd/honor-x8c,04/2025,Snapdragon 685 8 nhân,4 nhân 2.8 GHz & 4 nhân 1.9 GHz,Adreno 610,8 GB,256 GB,Chính 108 MP & Phụ 5 MP,50 MP,Kính cường lực HONOR,"6.7""",AMOLED,Full HD+ (1080 x 2412 Pixels),120 Hz,2800 nits,Android 15,IP64,5000 mAh,35 W,174 g,Khung nhựa & Mặt lưng nhựa (màu trắng) | Da thực vật (màu xanh),"Wi-Fi hotspot, Wi-Fi Direct, Wi-Fi 5, Dual-band (2.4 GHz/5 GHz), OTG, v5.0",Hỗ trợ 4G,Type-C,2025-09-09 11:47:33
329140,Điện thoại iPhone 16 Plus 256GB,25090000,iPhone (Apple),Smartphone,4.9,6847,https://www.thegioididong.com/dtdd/iphone-16-plus-256gb,09/2024,Apple A18 6 nhân,Hãng không công bố,Apple GPU 5 nhân,8 GB,256 GB,Chính 48 MP & Phụ 12 MP,12 MP,Kính cường lực Ceramic Shield,"6.7""",OLED,Super Retina XDR (1290 x 2796 Pixels),60 Hz,2000 nits,iOS 18,IP68,27 giờ,20 W,199 g,Khung nhôm & Mặt lưng kính cường lực,"NFC, Wi-Fi MIMO, Wi-Fi 7, v5.3",Hỗ trợ 5G,Type-C,2025-09-09 11:47:33
339175,Điện thoại OPPO Reno14 5G 12GB/256GB,15700000,OPPO,Smartphone,5.0,960,https://www.thegioididong.com/dtdd/oppo-reno14-5g,07/2025,MediaTek Dimensity 8350 5G 8 nhân,3.35 GHz,Mali-G615 MC6,12 GB,256 GB,"Chính 50 MP & Phụ 50 MP, 8 MP",50 MP,Kính cường lực Corning Gorilla Glass 7i,"6.59""",AMOLED,1.5K (1256 x 2760 Pixles),120 Hz,1200 nits,Android 15,"IP66, IP68, IP69",6000 mAh,80 W,187 g,Khung hợp kim nhôm & Mặt lưng kính,"OTG, NFC, Hồng ngoại, Wi-Fi MIMO, Wi-Fi hotspot, Wi-Fi 802.11 a/b/g/n, Wi-Fi 6E, Wi-Fi 6, Wi-Fi 5, Dual-band (2.4 GHz/5 GHz), v5.4",Hỗ trợ 5G,Type-C,2025-09-09 11:47:33
329136,Điện thoại iPhone 16 256GB,22090000,iPhone (Apple),Smartphone,4.9,6497,https://www.thegioididong.com/dtdd/iphone-16-256gb,09/2024,Apple A18 6 nhân,Hãng không công bố,Apple GPU 5 nhân,8 GB,256 GB,Chính 48 MP & Phụ 12 MP,12 MP,Kính cường lực Ceramic Shield,"6.1""",OLED,Super Retina XDR (1179 x 2556 Pixels),60 Hz,2000 nits,iOS 18,IP68,22 giờ,20 W,170 g,Khung nhôm & Mặt lưng kính cường lực,"NFC, Wi-Fi MIMO, Wi-Fi 7, v5.3",Hỗ trợ 5G,Type-C,2025-09-09 11:47:33
335583,Điện thoại Xiaomi Redmi Note 14 5G 8GB/256GB,6790000,Xiaomi,Smartphone,4.9,7382,https://www.thegioididong.com/dtdd/xiaomi-redmi-note-14-5g,03/2025,MediaTek Dimensity 7025-Ultra 5G 8 nhân,2.5 GHz,IMG BXM-8-256,8 GB,256 GB,"Chính 108 MP & Phụ 8 MP, 2 MP",20 MP,Kính cường lực Corning Gorilla Glass 5,"6.67""",AMOLED,Full HD+ (1080 x 2400 Pixels),120 Hz,2100 nits,Xiaomi HyperOS (Android 14),IP64,5110 mAh,45 W,190 g,Khung & Mặt lưng nhựa,"Wi-Fi hotspot, Wi-Fi Direct, Wi-Fi 5, Dual-band (2.4 GHz/5 GHz), NFC, Hồng ngoại, v5.3",Hỗ trợ 5G,"3.5 mm, Type-C",2025-09-09 11:47:33
333352,Điện thoại Samsung Galaxy S25 Ultra 5G 12GB/1TB,33680000,Samsung,Smartphone,5.0,941,https://www.thegioididong.com/dtdd/samsung-galaxy-s25-ultra-1tb,01/2025,Qualcomm Snapdragon 8 Elite For Galaxy 8 nhân,4.47 GHz,Adreno 830,12 GB,1 TB,"Chính 200 MP & Phụ 50 MP, 50 MP, 10 MP",12 MP,Kính cường lực Corning Gorilla Armor 2,"6.9""",Dynamic AMOLED 2X,2K+ (1440 x 3120 Pixels),120 Hz,2600 nits,Android 15,IP68,5000 mAh,45 W,218 g,Khung Titan & Mặt lưng kính cường lực,"NFC, Wi-Fi MIMO, Wi-Fi hotspot, Wi-Fi Direct, Wi-Fi 7, Dual-band (2.4 GHz/5 GHz), 6 GHz, v5.4",Hỗ trợ 5G,Type-C,2025-09-09 11:47:33
339175,Điện thoại OPPO Reno14 5G 12GB/256GB,15700000,OPPO,Smartphone,5.0,960,https://www.thegioididong.com/dtdd/oppo-reno14-5g,07/2025,MediaTek Dimensity 8350 5G 8 nhân,3.35 GHz,Mali-G615 MC6,12 GB,256 GB,"Chính 50 MP & Phụ 50 MP, 8 MP",50 MP,Kính cường lực Corning Gorilla Glass 7i,"6.59""",AMOLED,1.5K (1256 x 2760 Pixles),120 Hz,1200 nits,Android 15,"IP66, IP68, IP69",6000 mAh,80 W,187 g,Khung hợp kim nhôm & Mặt lưng kính,"OTG, NFC, Hồng ngoại, Wi-Fi MIMO, Wi-Fi hotspot, Wi-Fi 802.11 a/b/g/n, Wi-Fi 6E, Wi-Fi 6, Wi-Fi 5, Dual-band (2.4 GHz/5 GHz), v5.4",Hỗ trợ 5G,Type-C,2025-09-09 11:47:33
336409,Điện thoại Masstel S9 6GB/256GB,2940000,Masstel,Smartphone,4.9,1853,https://www.thegioididong.com/dtdd/masstel-s9,04/2025,Unisoc T606,1.6 GHz,Mali-G57,6 GB,256 GB,"Chính 50 MP & Phụ 2 MP, CIF",8 MP,Kính thường,"6.67""",IPS LCD,HD+ (720 x 1600 Pixels),120 Hz,480 nits,Android 14,,5000 mAh,18 W,198 g,Khung & Mặt lưng nhựa,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band (2.4 GHz/5 GHz), OTG, NFC, v5.0",Hỗ trợ 4G,"3.5 mm, Type-C",2025-09-09 11:47:33
323543,Điện thoại OPPO A60 8GB/128GB,5400000,OPPO,Smartphone,4.9,295894,https://www.thegioididong.com/dtdd/oppo-a60-128gb,04/2024,Snapdragon 680,2.4 GHz,Adreno 610,8 GB,128 GB,Chính 50 MP & Phụ 2 MP,8 MP,Kính cường lực KK6,"6.67""",IPS LCD,HD+ (720 x 1604 Pixels),90 Hz,950 nits,Android 14,IP54,5000 mAh,45 W,186 g,Khung nhựa & Mặt lưng thuỷ tinh hữu cơ,"Wi-Fi hotspot, Wi-Fi Direct, Wi-Fi 802.11 a/b/g/n/ac, Dual-band (2.4 GHz/5 GHz), OTG, v5.0",Hỗ trợ 4G,"3.5 mm, Type-C",2025-09-09 11:47:33
329141,Điện thoại iPhone 16 Plus 512GB,31290000,iPhone (Apple),Smartphone,5.0,389,https://www.thegioididong.com/dtdd/iphone-16-plus-512gb,09/2024,Apple A18 6 nhân,Hãng không công bố,Apple GPU 5 nhân,8 GB,512 GB,Chính 48 MP & Phụ 12 MP,12 MP,Kính cường lực Ceramic Shield,"6.7""",OLED,Super Retina XDR (1290 x 2796 Pixels),60 Hz,2000 nits,iOS 18,IP68,27 giờ,20 W,199 g,Khung nhôm & Mặt lưng kính cường lực,"NFC, Wi-Fi MIMO, Wi-Fi 7, v5.3",Hỗ trợ 5G,Type-C,2025-09-09 11:47:33
337741,Điện thoại realme C71 4GB/128GB,3920000,realme,Smartphone,4.9,10311,https://www.thegioididong.com/dtdd/realme-c71,06/2025,Unisoc T7250 8 nhân,1.8 GHz,Mali-G57 MP1,4 GB,128 GB,Chính 50 MP & Cảm biến Flicker,5 MP,Kính cường lực Panda,"6.67""",TFT LCD,HD+ (720 x 1604 Pixels),120 Hz,725 nits,Android 15,IP64,6300 mAh,45 W,196 g,Khung nhôm & Mặt lưng nhựa,"v5.2, Wi-Fi hotspot, Wi-Fi 5, Dual-band (2.4 GHz/5 GHz), OTG, NFC",Hỗ trợ 4G,"3.5 mm, Type-C",2025-09-09 11:47:33
325013,Điện thoại vivo Y18 8GB/128GB,4410000,vivo,Smartphone,4.9,29290,https://www.thegioididong.com/dtdd/vivo-y18,05/2024,MediaTek Helio G85,2 nhân 2.0 GHz & 6 nhân 1.8 GHz,Mali-G52,8 GB,128 GB,Chính 50 MP & Phụ 0.08 MP,8 MP,Kính cường lực CSG,"6.56""",IPS LCD,HD+ (720 x 1612 Pixels),90 Hz,840 nits,Android 14,IP54,5000 mAh,15 W,185 g,Khung & Mặt lưng nhựa,"Wi-Fi hotspot, Dual-band (2.4 GHz/5 GHz), OTG, v5.0",Hỗ trợ 4G,"3.5 mm, Type-C",2025-09-09 11:47:33
303716,Điện thoại iPhone 15 256GB,18490000,iPhone (Apple),Smartphone,4.9,18151,https://www.thegioididong.com/dtdd/iphone-15-256gb,09/2023,Apple A16 Bionic,3.46 GHz,Apple GPU 5 nhân,6 GB,256 GB,Chính 48 MP & Phụ 12 MP,12 MP,Kính cường lực Ceramic Shield,"6.1""",OLED,Super Retina XDR (1179 x 2556 Pixels),60 Hz,2000 nits,iOS 17,IP68,3349 mAh,20 W,171 g,Khung nhôm & Mặt lưng kính cường lực,"NFC, Wi-Fi MIMO, Wi-Fi 802.11 a/b/g/n/ac/ax, Wi-Fi 6, v5.3",Hỗ trợ 5G,Type-C,2025-09-09 11:47:33
336619,Điện thoại realme 14T 5G 8GB/256GB,8140000,realme,Smartphone,5.0,5283,https://www.thegioididong.com/dtdd/realme-14t-5g-8gb,05/2025,MediaTek Dimensity 6300 5G 8 nhân,2.4 GHz,Mali-G57 MC2,8 GB,256 GB,Chính 50 MP & Phụ 2 MP,16 MP,Kính cường lực,"6.67""",AMOLED,Full HD+ (1080 x 2400 Pixels),120 Hz,2000 nits,Android 15,"IP66, IP68, IP69",6000 mAh,45 W,196 g,Khung & Mặt lưng nhựa,"Wi-Fi hotspot, Dual-band (2.4 GHz/5 GHz), OTG, NFC, v5.3",Hỗ trợ 5G,Type-C,2025-09-09 11:47:33
